Season,Team,Head Coach,Race,Result,Wins,Losses,Ties
1970,Indianapolis Colts,Don McCafferty,White,Won Super Bowl,11,2,1
1971,Indianapolis Colts,Don McCafferty,White,Lost Conference Championship,10,4,0
1966,Tennessee Titans,Wally Lemm,White,Failed to make playoffs,3,11,0
1967,Tennessee Titans,Wally Lemm,White,Lost Championship,9,4,1
1968,Tennessee Titans,Wally Lemm,White,Failed to make playoffs,7,7,0
1969,Tennessee Titans,Wally Lemm,White,Lost Divisional Round,6,6,2
1972,Los Angeles Rams,Tommy Prothro,White,Failed to make playoffs,6,7,1
1973,Los Angeles Rams,Chuck Knox,White,Lost Divisional Round,12,2,0
1974,Los Angeles Rams,Chuck Knox,White,Lost Conference Championship,10,4,0
1975,Los Angeles Rams,Chuck Knox,White,Lost Conference Championship,12,2,0
1976,Los Angeles Rams,Chuck Knox,White,Lost Conference Championship,10,3,1
1977,Los Angeles Rams,Chuck Knox,White,Lost Divisional Round,10,4,0
1978,Los Angeles Rams,Ray Malavasi,White,Lost Conference Championship,12,4,0
1979,Los Angeles Rams,Ray Malavasi,White,Lost Super Bowl,9,7,0
1980,Los Angeles Rams,Ray Malavasi,White,Lost Wild Card,11,5,0
1981,Los Angeles Rams,Ray Malavasi,White,Failed to make playoffs,6,10,0
1982,Los Angeles Rams,Ray Malavasi,White,Failed to make playoffs,2,7,0
1966,Atlanta Falcons,Norb Hecker,White,Failed to make playoffs,3,11,0
1967,Atlanta Falcons,Norb Hecker,White,Failed to make playoffs,1,12,1
1968,Atlanta Falcons,Norb Hecker,White,Failed to make playoffs,2,12,0
1969,Atlanta Falcons,Norm Van Brocklin,White,Failed to make playoffs,6,8,0
1970,Atlanta Falcons,Norm Van Brocklin,White,Failed to make playoffs,4,8,2
1971,Atlanta Falcons,Norm Van Brocklin,White,Failed to make playoffs,7,6,1
1972,Atlanta Falcons,Norm Van Brocklin,White,Failed to make playoffs,7,7,0
1973,Atlanta Falcons,Norm Van Brocklin,White,Failed to make playoffs,9,5,0
1974,Atlanta Falcons,Marion Campbell,White,Failed to make playoffs,3,11,0
1975,Atlanta Falcons,Marion Campbell,White,Failed to make playoffs,4,10,0
1976,Atlanta Falcons,Marion Campbell,White,Failed to make playoffs,4,10,0
1977,Atlanta Falcons,Leeman Bennett,White,Failed to make playoffs,7,7,0
1979,Atlanta Falcons,Leeman Bennett,White,Failed to make playoffs,6,10,0
1981,Atlanta Falcons,Leeman Bennett,White,Failed to make playoffs,7,9,0
1983,Atlanta Falcons,Dan Henning,White,Failed to make playoffs,7,9,0
1984,Atlanta Falcons,Dan Henning,White,Failed to make playoffs,4,12,0
1985,Atlanta Falcons,Dan Henning,White,Failed to make playoffs,4,12,0
1986,Atlanta Falcons,Dan Henning,White,Failed to make playoffs,7,8,1
